player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,portfolio_cost_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,roi_proxy_pct,roi_score,upside_eur,upside_score,growth_score,confidence_score,opportunity_score,risk_score,risk_level,risk_adjusted_opportunity_score,future_asset_score,executive_decision_score,portfolio_score_conservative,portfolio_score_balanced,portfolio_score_aggressive,is_optimization_candidate
Ayoube Amaimouni Echghouyab,Ayoube Amaimouni-Echghouyab,Eintracht Frankfurt,Bundesliga,2025-2026,MID,20.85968514715948,586,500000.0,500000.0,7244006.534196417,6744006.534196417,5.0,1348.8013068392834,100.0,6744006.534196417,24.28911318467644,25.87829566394785,68.06111111111113,72.23549603355966,97.06,Muy alto,2.12,62.61948861399216,31.24113802687664,16.960772602319988,48.122687630232605,44.9743097140816,True
Amorim,Amorim,Alverca,Liga Portugal,2025-2026,MID,20.36960985626284,1624,1000000.0,1000000.0,3688035.538998239,2688035.538998239,2.688035538998239,268.8035538998239,19.693564114531032,2688035.538998239,9.239855937867162,99.23632756833167,84.66111111111113,100.0,63.24,Alto,36.76,41.344822535663766,47.739372300582616,42.59423196403454,44.32608512348881,42.84097718661457,True
Yan Diomandé,Yan Diomande,RB Leipzig,Bundesliga,2025-2026,MID,18.915811088295687,2472,20000000.0,20000000.0,47149077.422913626,27149077.422913626,1.3574538711456814,135.74538711456813,9.799629510597498,27149077.422913626,100.0,77.17493428247812,88.08333333333334,86.34334618328205,56.62,Alto,37.46,58.84487289869888,50.76838746133113,43.80393276865586,44.46264798177884,40.53609317693741,True
Samir El Mourabet,Samir El Mourabet,Strasbourg,Ligue 1,2025-2026,MID,20.01095140314853,2128,2000000.0,2000000.0,3421518.444074214,1421518.444074214,0.710759222037107,71.07592220371069,4.9909396559414025,1421518.444074214,4.540576383955579,100.0,86.41666666666667,90.04625649276937,34.56,Moderado,58.93,36.07689094078893,54.2139740337511,51.44057814032498,43.08178761421632,40.41864674326147,True
Sascha Britschgi,Sascha Britschgi,Parma,Serie A,2025-2026,DEF,19.1129363449692,2095,2500000.0,2500000.0,3889689.918696216,1389689.9186962158,0.5558759674784863,55.58759674784864,3.839259282709935,1389689.9186962158,4.42247996098629,100.0,86.41666666666667,88.68950722709778,61.76,Alto,33.91,32.652928851281274,42.86063365823987,40.17089319331286,36.14843623749164,36.21233991862593,True
